id;name;description;avatar;create_date;type;remark
1;大连;null;null;null;null;null
2;北京;null;null;null;null;null
3;沈阳;null;null;null;null;null
4;天津;null;null;null;null;null
5;武汉;null;null;null;null;null
6;长沙;null;null;null;null;null
7;石家庄;null;null;null;null;null
8;太原;null;null;null;null;null
9;青岛;null;null;null;null;null
10;上海;null;null;null;null;null
11;南京;null;null;null;null;null
12;杭州;null;null;null;null;null
13;西安;null;null;null;null;null
14;成都;null;null;null;null;null
15;重庆;null;null;null;null;null
16;贵阳;null;null;null;null;null
17;广州;null;null;null;null;null
18;深圳;null;null;null;null;null
19;厦门;null;null;null;null;null
20;福州;null;null;null;null;null

